jdk,benchmark,main_ops_s,port_ops_s,main_error,port_error,change_percent,main_bytes_op,port_bytes_op,confidence_intervals_overlap
21,SimpleMessageBenchmark.compiledUtf16,19819831.060981713,19359661.644007273,1059311.6067293799,2860679.9277991652,-2.3217625597240943,295.5394234011239,295.5394116187978,True
21,SimpleMessageBenchmark.compiledUtf8,22603786.78887583,22326910.02835609,1134548.5442789826,433715.85874387156,-1.2249131665672985,271.53935907369333,271.5393681074146,True
21,WktBenchmark.structRuntime,594753.4632972502,1283904.6007553686,54956.349369565716,310349.1612069255,115.87173173192427,1368.7145912436313,847.3918014789379,False
21,WktBenchmark.timestampRuntime,5999595.927839809,8219843.132448305,345707.42193555436,323892.2157947425,37.006612300437205,567.9542761836005,463.96958948189257,False
21,RepeatedAndMapBenchmark.mapCompiled,193702.38742926953,203199.84277414606,11252.656730893465,25697.053151339405,4.903117339400143,8241.151748739294,5025.230520461547,True
21,RepeatedAndMapBenchmark.mapRuntime,132183.7733471802,156561.7946377851,26274.10428531031,57779.40254856843,18.442521856730565,6983.375519506152,4805.494396440039,True
25,SimpleMessageBenchmark.compiledUtf16,19854183.252377752,19753333.120199922,1650888.4854612453,1259839.5976206919,-0.5079540714209574,295.53941541640717,295.5394194018537,True
25,SimpleMessageBenchmark.compiledUtf8,22679028.966035374,23592546.109520607,2550226.6682571582,804617.6938627257,4.028025824444859,271.53936935445745,271.53935688599057,True
25,WktBenchmark.structRuntime,651781.7920683313,1464590.0175013887,17463.533185131622,50929.28570790199,124.70557406240714,1304.8840740826392,735.6920584867745,False
25,WktBenchmark.timestampRuntime,5797190.258308777,8095718.897283003,611461.6554062259,470025.8517027236,39.649011616961815,567.9543374124257,463.96961703862803,False
25,RepeatedAndMapBenchmark.mapCompiled,188541.6273728527,203262.1796007568,32574.72460861236,44554.80711236011,7.807587339210387,6599.3798079995395,4589.5008639801845,True
25,RepeatedAndMapBenchmark.mapRuntime,137890.06649574192,173511.50239247133,16052.105639812267,16256.163546552576,25.833213952238832,6983.415312904388,4805.498591330895,False
